meeting,naive_kelly,robust_G0,robust_G0.5,robust_G1,robust_G2,robust_G3,robust_G5,equal_weight,random
25JAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25MAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25MAY,0.009095565484485162,0.009095565484485162,0.0,0.0,0.0,0.0,0.0,0.009095565484485162,0.0056747514324167695
25JUN,0.00455812387053154,0.00455812387053154,0.0,0.0,0.0,0.0,0.0,0.00455812387053154,0.00455812387053154
25JUL,0.010171235371922192,0.010171235371922192,0.0,0.0,0.0,0.0,0.0,0.010171235371922192,0.006341745751277631
25SEP,0.018402762361765936,0.018402762361765936,0.0,0.0,0.0,0.0,0.0,0.015309978305480879,0.010722537645409442
25OCT,0.0033311492974837124,0.0033311492974837124,0.0,0.0,0.0,0.0,0.0,0.0033311492974837124,0.003331149297483712
25DEC,0.027879967873735666,0.027879967873735666,0.0,0.0,0.0,0.0,0.0,0.027879967873735666,0.017504394806108225
26JAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26MAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26APR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26JUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26JUL,0.14385527596615855,0.14385527596615855,0.016206592055718054,0.0,0.0,0.0,0.0,0.14385527596615855,0.0925377301397514
26SEP,0.07866347423401288,0.07866347423401288,0.03366193104868214,0.0,0.0,0.0,0.0,0.07866347423401288,0.04887140125854965
