venue,method,n,n_meetings,brier,ece,log_loss
kalshi,raw,246,20,0.009350101626016257,0.01794715447154479,0.049713139444204
kalshi,platt_weak_prior,246,20,0.0016857211935350056,0.00040542022730471913,0.007767172021506168
kalshi,platt,246,20,0.005012605888929991,0.00026783536766997613,0.01885796669035075
kalshi,isotonic,246,20,0.004939991043704686,0.004435871909739464,0.020786349507743582
polymarket,raw,246,20,0.008838802845528456,0.013841463414634122,0.04414994114191357
polymarket,platt_weak_prior,246,20,0.0021098821434341135,0.000947498532817158,0.008214139430931133
polymarket,platt,246,20,0.004851234406787723,0.0005394923508514676,0.01823290922169424
polymarket,isotonic,246,20,0.004848726641634505,0.005014239574881008,0.02055570505758201
pooled,raw,246,20,0.009071143800813006,0.015894308943089443,0.04691504579815677
pooled,platt_weak_prior,246,20,0.0018109924775241506,0.00032757177906386726,0.007832687282681067
pooled,platt,246,20,0.004918570333407004,0.0002696745533779022,0.01852051122306797
pooled,isotonic,246,20,0.004881958461078729,0.004666552959235829,0.020652298213263733
