Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Precision,Recall,Time Taken
QuadraticDiscriminantAnalysis,0.7142857142857143,0.6193181818181819,0.6458333333333334,0.6935286935286936,0.6938775510204082,0.7142857142857143,0.029536008834838867
KNeighborsClassifier,0.6857142857142857,0.6107954545454546,0.6325757575757576,0.6762857142857143,0.6714285714285714,0.6857142857142857,0.07702207565307617
ExtraTreeClassifier,0.6714285714285714,0.6003787878787878,0.6003787878787878,0.6643860204835814,0.6597965501990269,0.6714285714285714,0.07276725769042969
AdaBoostClassifier,0.6714285714285714,0.5880681818181819,0.6117424242424243,0.6584992565190585,0.6524813699064531,0.6714285714285714,0.4941377639770508
Perceptron,0.4857142857142857,0.5880681818181819,0.7196969696969698,0.473078273078273,0.6862637362637363,0.4857142857142857,0.03235745429992676
NuSVC,0.6714285714285714,0.5880681818181819,0.603219696969697,0.6584992565190585,0.6524813699064531,0.6714285714285714,0.03943204879760742
SGDClassifier,0.7142857142857143,0.5823863636363636,0.6287878787878788,0.6658008658008658,0.6941244239631337,0.7142857142857143,0.025975942611694336
RandomForestClassifier,0.6857142857142857,0.5738636363636364,0.6766098484848485,0.6543205961629935,0.6536945812807882,0.6857142857142857,0.18554949760437012
GaussianNB,0.7,0.5719696969696969,0.6960227272727273,0.6549866824504291,0.6692167577413479,0.7,0.05940699577331543
NearestCentroid,0.7,0.5719696969696969,0.6429924242424242,0.6549866824504291,0.6692167577413479,0.7,0.05836367607116699
SVC,0.6857142857142857,0.5615530303030303,0.612689393939394,0.6442460317460318,0.6485714285714286,0.6857142857142857,0.01582646369934082
LinearDiscriminantAnalysis,0.7,0.5596590909090909,0.709280303030303,0.6426840633737185,0.6693877551020407,0.7,0.16965627670288086
RidgeClassifierCV,0.7,0.5596590909090909,0.7102272727272728,0.6426840633737185,0.6693877551020407,0.7,0.011696577072143555
RidgeClassifier,0.7,0.5596590909090909,0.7102272727272727,0.6426840633737185,0.6693877551020407,0.7,0.026106595993041992
CalibratedClassifierCV,0.7,0.5596590909090909,0.665719696969697,0.6426840633737185,0.6693877551020407,0.7,0.313889741897583
LinearSVC,0.7,0.5596590909090909,0.7007575757575759,0.6426840633737185,0.6693877551020407,0.7,0.0781099796295166
LogisticRegression,0.7,0.5596590909090909,0.6979166666666667,0.6426840633737185,0.6693877551020407,0.7,0.06688570976257324
ExtraTreesClassifier,0.6714285714285714,0.5511363636363636,0.6581439393939393,0.6335558522474409,0.6309927360774819,0.6714285714285714,0.44000244140625
PassiveAggressiveClassifier,0.6857142857142857,0.5492424242424242,0.6789772727272727,0.6323809523809525,0.6437788018433179,0.6857142857142857,0.04107832908630371
BernoulliNB,0.7,0.5473484848484849,0.6903409090909091,0.6281219272369715,0.6738461538461538,0.7,0.05569148063659668
DecisionTreeClassifier,0.6428571428571429,0.5426136363636364,0.5426136363636364,0.6212092814034561,0.611948051948052,0.6428571428571429,0.10210609436035156
BaggingClassifier,0.6,0.5113636363636364,0.5213068181818182,0.5880000000000001,0.5794871794871794,0.6,0.13309454917907715
DummyClassifier,0.6857142857142857,0.5,0.5,0.5578692493946732,0.47020408163265304,0.6857142857142857,0.06128883361816406
MajorityBaseline,0.6857142857142857,0.5,0.5,,,,0.0
LabelPropagation,0.5428571428571428,0.4820075757575758,0.4488636363636364,0.5479318091714022,0.5537784679089027,0.5428571428571428,0.6071736812591553
LabelSpreading,0.5428571428571428,0.4820075757575758,0.5359848484848485,0.5479318091714022,0.5537784679089027,0.5428571428571428,0.406780481338501
