k_bad,instance,strategy,growth
0,0,naive_kelly,0.045270346290223036
0,0,robust_G0,0.04517587547531262
0,0,robust_G1,0.02704935149549455
0,0,robust_G2,0.014076056086217028
0,0,robust_G3,0.002755451580834631
0,0,robust_G6,0.002755451580834631
0,0,equal_weight,0.038220862634808256
0,0,oracle_kelly,0.0481025575936884
0,1,naive_kelly,0.08670072936801526
0,1,robust_G0,0.08664498481440956
0,1,robust_G1,0.08789587978040504
0,1,robust_G2,0.07522736175610041
0,1,robust_G3,0.05777423155730982
0,1,robust_G6,0.007961378441654263
0,1,equal_weight,0.08608494921435658
0,1,oracle_kelly,0.095481957389854
0,2,naive_kelly,0.047242484925696854
0,2,robust_G0,0.046957133379252274
0,2,robust_G1,0.04133009144213848
0,2,robust_G2,0.02944443502689326
0,2,robust_G3,0.014106621310825136
0,2,robust_G6,0.0
0,2,equal_weight,0.04769957006204583
0,2,oracle_kelly,0.049206137986264206
0,3,naive_kelly,0.05949495328609164
0,3,robust_G0,0.05983903565989364
0,3,robust_G1,0.058965253688185774
0,3,robust_G2,0.049111313530615985
0,3,robust_G3,0.03619623446506333
0,3,robust_G6,0.01459402832033729
0,3,equal_weight,0.05313269168550137
0,3,oracle_kelly,0.06197971367599541
0,4,naive_kelly,0.06913468112438503
0,4,robust_G0,0.06913144098271146
0,4,robust_G1,0.06552101075914495
0,4,robust_G2,0.05425576864333088
0,4,robust_G3,0.03803878438243197
0,4,robust_G6,0.016582694109836805
0,4,equal_weight,0.058539472513368
0,4,oracle_kelly,0.06926150005762668
0,5,naive_kelly,0.0365253575146092
0,5,robust_G0,0.036628914305250615
0,5,robust_G1,0.02991541361610813
0,5,robust_G2,0.02411964379871217
0,5,robust_G3,0.012521028266431432
0,5,robust_G6,0.0
0,5,equal_weight,0.023460826820335328
0,5,oracle_kelly,0.03903274290787408
0,6,naive_kelly,0.10292065967915032
0,6,robust_G0,0.10256994346676952
0,6,robust_G1,0.08910259612505615
0,6,robust_G2,0.08073982738423505
0,6,robust_G3,0.06385589609602282
0,6,robust_G6,0.016136921042318148
0,6,equal_weight,0.09877488175770333
0,6,oracle_kelly,0.10646303401880858
0,7,naive_kelly,0.049769709460993045
0,7,robust_G0,0.04960377777178159
0,7,robust_G1,0.051414995978771826
0,7,robust_G2,0.039394164365438564
0,7,robust_G3,0.02162998558868575
0,7,robust_G6,0.0017242066753705822
0,7,equal_weight,0.04316287018834789
0,7,oracle_kelly,0.05886581181188098
0,8,naive_kelly,0.081594001927575
0,8,robust_G0,0.0814519822007787
0,8,robust_G1,0.08414046153602024
0,8,robust_G2,0.08452357653014425
0,8,robust_G3,0.08397740566321764
0,8,robust_G6,0.03382731537579041
0,8,equal_weight,0.08073713490847031
0,8,oracle_kelly,0.09023061787609585
0,9,naive_kelly,0.059461387659878254
0,9,robust_G0,0.05944885824399717
0,9,robust_G1,0.061466570647637775
0,9,robust_G2,0.05601079393523778
0,9,robust_G3,0.040468717112950386
0,9,robust_G6,0.016385102207034923
0,9,equal_weight,0.06137721969978256
0,9,oracle_kelly,0.0657050500069714
0,10,naive_kelly,0.036792660913958525
0,10,robust_G0,0.03681797016357522
0,10,robust_G1,0.035075917787809364
0,10,robust_G2,0.022261683878742104
0,10,robust_G3,0.013397693832941392
0,10,robust_G6,0.013397693832941392
0,10,equal_weight,0.027052783323034447
0,10,oracle_kelly,0.03994470343938203
0,11,naive_kelly,0.04425216368068595
0,11,robust_G0,0.0443207983089345
0,11,robust_G1,0.04654184829805441
0,11,robust_G2,0.03814558315787401
0,11,robust_G3,0.025163735216758736
0,11,robust_G6,0.0074223778410682645
0,11,equal_weight,0.03787403548201196
0,11,oracle_kelly,0.04956268829597114
0,12,naive_kelly,0.11369969233641992
0,12,robust_G0,0.11337461516486982
0,12,robust_G1,0.11102427712005883
0,12,robust_G2,0.10442040982530346
0,12,robust_G3,0.09688027571170793
0,12,robust_G6,0.03476624413106692
0,12,equal_weight,0.11126389841260056
0,12,oracle_kelly,0.11483484999367602
0,13,naive_kelly,0.06996655136721691
0,13,robust_G0,0.07062027767105618
0,13,robust_G1,0.062332447882030434
