k_bad,strategy,mean,sem,p05,frac_negative
0,equal_weight,0.0625814449071062,0.0016683524256680116,0.028729270822638656,0.0
0,naive_kelly,0.06887615531497981,0.001598513129033965,0.036719803930959284,0.0
0,oracle_kelly,0.07281778029573294,0.001574329756693658,0.03942059569491437,0.0
0,robust_G0,0.06882838215591468,0.0015968243225246077,0.03671398944149669,0.0
0,robust_G1,0.06471360746513784,0.0016401527487894913,0.029091554762449272,0.0
0,robust_G2,0.05428678051546947,0.0017861422418113744,0.01676119041331348,0.0
0,robust_G3,0.03860580326956998,0.0019298311671885695,0.0028854531246041274,0.0
0,robust_G6,0.015107540506438729,0.0011439577860881478,0.0,0.0
1,equal_weight,0.06014126983515387,0.001614740176677191,0.03160110321087889,0.0
1,naive_kelly,0.053636350016728285,0.0015701222141478223,0.02456819887127041,0.0
1,oracle_kelly,0.07080102108983859,0.0015053279201435446,0.04325579726649091,0.0
1,robust_G0,0.05352407822891583,0.0015781845642959772,0.024553284718342346,0.0
1,robust_G1,0.06405097564002951,0.0014994373032330955,0.03776628822168522,0.0
1,robust_G2,0.06045481830295157,0.001506412238302402,0.033610000727994215,0.0
1,robust_G3,0.0501934328280409,0.001664322447932727,0.020457767884987932,0.0
1,robust_G6,0.024984465953720364,0.001188485175081545,0.003921856211004167,0.0
2,equal_weight,0.06399470790768737,0.0015969629320516988,0.03581532293017982,0.0
2,naive_kelly,0.04568690691598085,0.001883514285684214,0.004772668901674863,0.02666666666666667
2,oracle_kelly,0.07376067859295202,0.0015273306450281291,0.045719166127517016,0.0
2,robust_G0,0.04551040917662195,0.0018909590999432915,0.0028304303204673914,0.04
2,robust_G1,0.060504109365599655,0.0015722819403764326,0.03209728937560139,0.0
2,robust_G2,0.06586645522957447,0.0014921329407073804,0.03838241295494667,0.0
2,robust_G3,0.061822482054146505,0.0015686721504903365,0.030697839693946277,0.0
2,robust_G6,0.037377612220558486,0.0015055958140059967,0.010031026895163398,0.0
4,equal_weight,0.060451364259569436,0.0015536896879563922,0.03166256894191872,0.0
4,naive_kelly,0.04598535353656903,0.0017691012269826162,0.012079040584377754,0.02666666666666667
4,oracle_kelly,0.06999193905765114,0.0015108694655786709,0.04491748760200954,0.0
4,robust_G0,0.04596212205167969,0.0017760795385871515,0.011703755985845672,0.02666666666666667
4,robust_G1,0.05452254704490008,0.0015809056825753132,0.026434197257447202,0.006666666666666667
4,robust_G2,0.05790487064505943,0.0015392521698328946,0.03156225012485012,0.0
4,robust_G3,0.06102070197387171,0.0015059314759675482,0.03641032885883968,0.0
4,robust_G6,0.050586758840234655,0.0015515896469645615,0.022117504412927324,0.0
