round,n_bets,mean_edge,mean_d,bet_win_rate
C08,12,0.03287780481903451,0.08418617391141474,0.9166666666666666
C09,3,0.052689919299324796,0.08296970146721726,1.0
C10,12,0.062225045450900775,0.10077112848168092,0.8333333333333334
C11,10,0.05015478933448906,0.098034830772005,0.9
C12,7,0.047286399939953365,0.08661327210794072,0.5714285714285714
C13,12,0.04354249551906794,0.07429086425733693,1.0
C14,12,0.07012130173914659,0.08780352190830178,0.9166666666666666
C15,12,0.08492498629921637,0.09691827986419631,0.8333333333333334
C16,12,0.07742248999553156,0.07181603936696969,0.75
C17,12,0.0625961055377028,0.0751429936858088,0.5
C18,12,0.0501472250683982,0.05948631249299443,1.0
C19,12,0.052312055548032844,0.04690294671238913,0.8333333333333334
C20,12,0.06164599368523632,0.059379653520647585,0.5833333333333334
C21,12,0.05304585230010544,0.06900781646479842,0.6666666666666666
C22,12,0.035889148590504925,0.057516549234408874,0.8333333333333334
C23,12,0.03205598786889386,0.062175027247105476,0.9166666666666666
C24,12,0.024646440777437727,0.04470754588682374,0.8333333333333334
C25,12,0.034411853965107285,0.058169298641709645,0.6666666666666666
C26,12,0.024220056051347878,0.040439568270129955,0.6666666666666666
C27,12,0.020795720258446854,0.043849630951718975,0.8333333333333334
C28,12,0.021382955646009522,0.03765942582333054,0.8333333333333334
C29,12,0.021383042732832296,0.03990666477307968,0.9166666666666666
C30,12,0.02561680525650196,0.038154746796420946,0.8333333333333334
C31,12,0.031217130852004237,0.03308741209986224,0.75
C32,12,0.01942293017405657,0.032458362326929786,1.0
C33,12,0.019358166422496447,0.03172839592940268,0.8333333333333334
C34,12,0.02433403089120839,0.034496759476931864,0.6666666666666666
C35,12,0.010567160831294192,0.030062456263536586,0.75
C36,12,0.004481690483828571,0.03437337186389821,0.5833333333333334
C37,12,0.011381093689213204,0.042784854569829944,0.5833333333333334
C38,12,0.00820872202926833,0.038956902058970705,0.5
C39,7,0.00040552613586013794,0.038653216253756284,0.42857142857142855
C40,12,0.0012157124904552026,0.03844335583060695,0.5
C41,12,0.007894760234617132,0.038731649198683854,0.4166666666666667
C42,12,0.013675850349438237,0.037630212691321475,0.25
C43,12,0.007577931571108257,0.03374696651299425,0.25
C44,12,0.007276975027640464,0.03425614681359523,0.25
C45,8,0.005902865044906268,0.0322095948106433,0.125
C46,8,0.0038689771481512925,0.03250883547848028,0.25
C47,12,0.003118284337725933,0.0306109988605034,0.4166666666666667
C48,8,0.0027244552060348166,0.030417608989528597,0.25
C49,7,0.0013430049237274267,0.030050130368021795,0.14285714285714285
C50,1,0.00025211842633676707,0.031627235499088635,0.0
C51,12,0.0030576641946151264,0.02983302875887862,0.08333333333333333
C52,2,0.00032473450960933403,0.01885190430544581,0.5
C53,7,0.00027486754049833265,0.019327570429929036,0.42857142857142855
C54,12,0.0015234478346552404,0.019360551338001145,0.16666666666666666
C55,12,0.0016643492077821644,0.01983803039998595,0.3333333333333333
C56,12,0.0036191495940066606,0.018459531055488237,0.25
