variant,a,b,observed,lo,hi,prob_positive
cost_0.5c,robust_G2,naive_kelly,-0.21858133603225885,-0.7969090183610269,0.4069803430508549,0.277
cost_0.5c,robust_G5,naive_kelly,-0.3497302292250104,-1.0504012845934094,0.3942863462941553,0.2115
cost_2c,robust_G2,naive_kelly,-0.04907872913748008,-0.5535073010560239,0.4947041217324784,0.448
cost_2c,robust_G5,naive_kelly,-0.07520332122321195,-0.669548219947612,0.5788005371391644,0.4345
cost_3c,robust_G2,naive_kelly,0.08940755241803239,-0.40611233532161123,0.6317182685101561,0.6225
cost_3c,robust_G5,naive_kelly,0.13917639025600195,-0.4621749360770095,0.8027208096346279,0.64
cost_5c,robust_G2,naive_kelly,0.10251791361417575,-0.43141620049264506,0.6967909441952498,0.6035
cost_5c,robust_G5,naive_kelly,0.32357877783081235,-0.22339064138004863,0.9599891384158364,0.816
min_edge_2c,robust_G2,naive_kelly,-0.0528339059632483,-0.5700072989558614,0.4997521684436342,0.444
min_edge_2c,robust_G5,naive_kelly,-0.06272866819510535,-0.6213702866381773,0.5697221050083102,0.4385
max_bets_6,robust_G2,naive_kelly,-0.18839875439824874,-0.7114056354054411,0.3703071935213905,0.292
max_bets_6,robust_G5,naive_kelly,0.006547332385704811,-0.5962502889062352,0.645368728534022,0.5105
max_bets_20,robust_G2,naive_kelly,-0.06883112603894298,-0.5975252186958627,0.4943704842255044,0.438
max_bets_20,robust_G5,naive_kelly,0.18224397336105863,-0.3962159980759416,0.823809381396176,0.6825
isotonic,robust_G2,naive_kelly,-0.9761454057105807,-2.380265205269098,0.34195595505378895,0.117
isotonic,robust_G5,naive_kelly,-0.43567476666803656,-2.1530854214502613,1.2044313516362803,0.34
bootstrap_intervals,robust_G2,naive_kelly,-0.03420293245995579,-0.6360688538562522,0.5957882632776758,0.4745
bootstrap_intervals,robust_G5,naive_kelly,-0.15833619231731827,-0.7765861061343001,0.5088136542716102,0.3485
several_per_event,robust_G2,naive_kelly,-0.07493055063018755,-0.5165123021356938,0.39525527909342967,0.413
several_per_event,robust_G5,naive_kelly,0.03081901016278283,-0.5471562092410313,0.6072274524823498,0.5345
weak_prior,robust_G2,naive_kelly,-0.08786932366777335,-0.6293404211725847,0.48017986193222306,0.4045
weak_prior,robust_G5,naive_kelly,-0.052329478215182065,-0.6888952470754416,0.621428247830601,0.447
budget_0.2,robust_G2,naive_kelly,-0.12405583183604244,-0.5014246639010473,0.2696240619522131,0.3025
budget_0.2,robust_G5,naive_kelly,-0.12207510961858889,-0.5475726629549063,0.3162108828861888,0.33
burn_in_4,robust_G2,naive_kelly,-0.014920229263071585,-0.6606324887789263,0.6863263854584112,0.4635
burn_in_4,robust_G5,naive_kelly,0.02260974967388741,-0.7167053669718518,0.8132542559338982,0.4975
burn_in_12,robust_G2,naive_kelly,-0.04960356836842873,-0.5355213157586078,0.4984745284541521,0.426
burn_in_12,robust_G5,naive_kelly,0.02161239205090048,-0.57380236752771,0.67717377840519,0.5125
active_40changes,robust_G2,naive_kelly,0.480014977265842,-0.24419622091034088,1.2365930562337126,0.8485
active_40changes,robust_G5,naive_kelly,0.9847732996491616,0.011195592722443781,1.9484788278375658,0.952
fresh_3h,robust_G2,naive_kelly,0.3054265339036502,-0.21865402692854102,0.8708969002987008,0.8355
fresh_3h,robust_G5,naive_kelly,0.43946748724446805,-0.31055631060364675,1.2687085325472047,0.8125
